name,bus0,bus1,type,s_nom_extendable,length,s_max_pu
KarlsruheWest_Daxlanden_220,KarlsruheWest_220kV,Daxlanden_220kV,Al/St 240/40 2-bundle 220.0,TRUE,8,0.7
Daxlanden_Oberwald_220,Daxlanden_220kV,Oberwald_220kV,Al/St 240/40 2-bundle 220.0,TRUE,10,0.7
Daxlanden_Oberwald_110,Daxlanden_110kV,Oberwald_110kV,305-AL1/39-ST1A 110.0,TRUE,10,0.7
Oberwald_KarlsruheOst_220,Oberwald_220kV,KarlsruheOst_220kV,Al/St 240/40 2-bundle 220.0,TRUE,8,0.7
Oberwald_KarlsruheOst_110,Oberwald_110kV,KarlsruheOst_110kV,305-AL1/39-ST1A 110.0,TRUE,8,0.7
Oberwald_Kuppenheim_110,Oberwald_110kV,Kuppenheim_110kV,305-AL1/39-ST1A 110.0,TRUE,27,0.7
Oberwald_Bruchsal_110,Oberwald_110kV,Bruchsal_110kV,305-AL1/39-ST1A 110.0,TRUE,30,0.7
Oberwald_Birkenfeld_110,Oberwald_110kV,Birkenfeld_110kV,305-AL1/39-ST1A 110.0,TRUE,30,0.7
Oberwald_Birkenfeld_220,Oberwald_110kV,Birkenfeld_220kV,Al/St 240/40 2-bundle 220.0,TRUE,30,0.7
Kuppenheim_Daxlanden_220,Kuppenheim_220kV,Daxlanden_220kV,Al/St 240/40 2-bundle 220.0,TRUE,28,0.7
Forbach_Kuppenheim_110,Forbach_110kV,Kuppenheim_110kV,305-AL1/39-ST1A 110.0,TRUE,23,0.7
Daxlanden_Altlussheim_220,Daxlanden_220kV,Altlussheim_220kV,Al/St 240/40 2-bundle 220.0,TRUE,45,0.7
Altlussheim_Rheinau_110,Altlussheim_110kV,Rheinau_110kV,305-AL1/39-ST1A 110.0,TRUE,19,0.7
Altlussheim_Rheinau_220,Altlussheim_220kV,Rheinau_220kV,Al/St 240/40 2-bundle 220.0,TRUE,19,0.7
Rheinau_GKMannheim_220,Rheinau_220kV,GKMannheim_220kV,Al/St 240/40 2-bundle 220.0,TRUE,10,0.7
Weinheim_GKMannheim_220,Weinheim_220kV,GKMannheim_220kV,Al/St 240/40 2-bundle 220.0,TRUE,24,0.7
Rheinau_Weinheim_110,Rheinau_110kV,Weinheim_110kV,305-AL1/39-ST1A 110.0,TRUE,26,0.7
Kuppenheim_Buhl_220,Kuppenheim_220kV,Buhl_220kV,Al/St 240/40 2-bundle 220.0,TRUE,25,0.7
Kuppenheim_Buhl_110,Kuppenheim_110kV,Buhl_110kV,305-AL1/39-ST1A 110.0,TRUE,25,0.7
Buhl_Weier_220,Buhl_220kV,Weier_220kV,Al/St 240/40 2-bundle 220.0,TRUE,38,0.7
Weier_Eichstetten_220,Weier_220kV,Eichstetten_220kV,Al/St 240/40 2-bundle 220.0,TRUE,55,0.7
Daxlanden_Eichstetten_380,Daxlanden_380kV,Eichstetten_380kV,Al/St 240/40 4-bundle 380.0,TRUE,126,0.7
Rheinfelden_Eichstetten_110,Rheinfelden_110kV,Eichstetten_110kV,305-AL1/39-ST1A 110.0,TRUE,94,0.7
Rheinfelden_Ryburg_Schworstadt_110,Rheinfelden_110kV,Ryburg_Schworstadt_110kV,305-AL1/39-ST1A 110.0,TRUE,11,0.7
Lorrach_Eichstetten_110,Lorrach_110kV,Eichstetten_110kV,305-AL1/39-ST1A 110.0,TRUE,82,0.7
Kuhmoos_Ryburg_Schworstadt_380,Kuhmoos_380kV,Ryburg_Schworstadt_380kV,Al/St 240/40 4-bundle 380.0,TRUE,20,0.7
Kuhmoos_Eichstetten_380,Kuhmoos_380kV,Eichstetten_380kV,Al/St 240/40 4-bundle 380.0,TRUE,111,0.7
Kuhmoos_Laufenburg_380,Kuhmoos_380kV,Laufenburg_380kV,Al/St 240/40 4-bundle 380.0,TRUE,20,0.7
Tiengen_Ryburg_Schworstadt_110,Tiengen_110kV,Ryburg_Schworstadt_110kV,305-AL1/39-ST1A 110.0,TRUE,41,0.7
Laufenburg_Tiengen_380,Laufenburg_380kV,Tiengen_380kV,Al/St 240/40 4-bundle 380.0,TRUE,18,0.7
Reckingen_Tiengen_110,Reckingen_110kV,Tiengen_110kV,305-AL1/39-ST1A 110.0,TRUE,10,0.7
Gurtweil_Tiengen_220,Gurtweil_220kV,Tiengen_220kV,Al/St 240/40 2-bundle 220.0,TRUE,3,0.7
Gurtweil_Laufenburg_380,Gurtweil_380kV,Laufenburg_380kV,Al/St 240/40 4-bundle 380.0,TRUE,20,0.7
Gurtweil_Villingen_110,Gurtweil_110kV,Villingen_110kV,305-AL1/39-ST1A 110.0,TRUE,69,0.7
Gurtweil_Villingen_380,Gurtweil_380kV,Villingen_380kV,Al/St 240/40 4-bundle 380.0,TRUE,69,0.7
Gurtweil_Eichstetten_220,Gurtweil_220kV,Eichstetten_220kV,Al/St 240/40 2-bundle 220.0,TRUE,98,0.7
Villingen_Trossingen_110,Villingen_110kV,Trossingen_110kV,305-AL1/39-ST1A 110.0,TRUE,17,0.7
Villingen_Trossingen_380,Villingen_380kV,Trossingen_380kV,Al/St 240/40 4-bundle 380.0,TRUE,17,0.7
Trossingen_Engstlatt_380,Trossingen_380kV,Engstlatt_380kV,Al/St 240/40 4-bundle 380.0,TRUE,39,0.7
Trossingen_Dotternhausen_110,Trossingen_110kV,Dotternhausen_110kV,305-AL1/39-ST1A 110.0,TRUE,27,0.7
Dotternhausen_Engstlatt_110,Dotternhausen_110kV,Engstlatt_110kV,305-AL1/39-ST1A 110.0,TRUE,12,0.7
Trossingen_Tuttlingen_110,Trossingen_110kV,Tuttlingen_110kV,305-AL1/39-ST1A 110.0,TRUE,25,0.7
Villingen_Weier_110,Villingen_110kV,Weier_110kV,305-AL1/39-ST1A 110.0,TRUE,78,0.7
Engstlatt_Oberjettingen_380,Engstlatt_380kV,Oberjettingen_380kV,Al/St 240/40 4-bundle 380.0,TRUE,49,0.7
Oberjettingen_Pulverdingen_380,Oberjettingen_380kV,Pulverdingen_380kV,Al/St 240/40 4-bundle 380.0,TRUE,63,0.7
Philippsburg_Altlussheim_110,Philippsburg_110kV,Altlussheim_110kV,305-AL1/39-ST1A 110.0,TRUE,11,0.7
Bruchsal_Altlussheim_110,Bruchsal_110kV,Altlussheim_110kV,305-AL1/39-ST1A 110.0,TRUE,27,0.7
Pulverdingen_Bruchsal_380,Pulverdingen_380kV,Bruchsal_380kV,Al/St 240/40 4-bundle 380.0,TRUE,50,0.7
Bruchsal_Philippsburg_380,Bruchsal_380kV,Philippsburg_380kV,Al/St 240/40 4-bundle 380.0,TRUE,21,0.7
Bruchsal_Philippsburg_110,Bruchsal_110kV,Philippsburg_110kV,305-AL1/39-ST1A 110.0,TRUE,21,0.7
Daxlanden_Philippsburg_380,Daxlanden_380kV,Philippsburg_380kV,Al/St 240/40 4-bundle 380.0,TRUE,40,0.7
Birkenfeld_Enzberg_110,Birkenfeld_110kV,Enzberg_110kV,305-AL1/39-ST1A 110.0,TRUE,20,0.7
Wiesloch_Leimen_110,Wiesloch_110kV,Leimen_110kV,305-AL1/39-ST1A 110.0,TRUE,10,0.7
