name,v_nom,carrier,x,y
KarlsruheWest_220kV,220,AC,8.39,49
KarlsruheWest_110kV,110,AC,8.38,49
Daxlanden_110kV,110,AC,8.29,49
Daxlanden_220kV,220,AC,8.31,49
Daxlanden_380kV,380,AC,8.3,49
Oberwald_220kV,220,AC,8.41,48.98
Oberwald_110kV,110,AC,8.42,48.98
KarlsruheOst_220kV,220,AC,8.42,49
KarlsruheOst_110kV,110,AC,8.43,49
Kuppenheim_220kV,220,AC,8.24,48.83
Kuppenheim_110kV,110,AC,8.23,48.83
Forbach_110kV,110,AC,8.36,48.68
Buhl_220kV,220,AC,8.14,48.69
Buhl_110kV,110,AC,8.13,48.69
Weier_220kV,220,AC,7.92,48.49
Weier_110kV,110,AC,7.93,48.49
Eichstetten_110kV,110,AC,7.74,48.091
Eichstetten_220kV,220,AC,7.74,48.09
Eichstetten_380kV,380,AC,7.74,48.089
Philippsburg_380kV,380,AC,8.45,49.23
Philippsburg_110kV,110,AC,8.44,49.23
Altlussheim_220kV,220,AC,8.5,49.29
Altlussheim_110kV,110,AC,8.4,49.29
Rheinau_220kV,220,AC,8.55,49.44
Rheinau_110kV,110,AC,8.54,49.44
GKMannheim_220kV,220,AC,8.48,49.44
GKMannheim_110kV,110,AC,8.47,49.44
Lorrach_110kV,110,AC,7.61,47.63
Rheinfelden_110kV,110,AC,7.76,47.59
Ryburg_Schworstadt_380kV,380,AC,7.87,47.59
Ryburg_Schworstadt_110kV,110,AC,7.86,47.59
Kuhmoos_380kV,380,AC,7.98,47.62
Kuhmoos_110kV,110,AC,7.98,47.62
Laufenburg_380kV,380,AC,8.08,47.57
Laufenburg_110kV,110,AC,8.08,47.57
Reckingen_110kV,110,AC,8.33,47.57
Tiengen_380kV,380,AC,8.27,47.63
Tiengen_220kV,220,AC,8.25,47.63
Tiengen_110kV,110,AC,8.26,47.63
Gurtweil_380kV,380,AC,8.23,47.64
Gurtweil_220kV,220,AC,8.25,47.64
Gurtweil_110kV,110,AC,8.24,47.64
Weinheim_220kV,220,AC,8.66,49.54
Weinheim_110kV,110,AC,8.65,49.54
Villingen_380kV,380,AC,8.46,48.06
Villingen_110kV,110,AC,8.45,48.06
Engstlatt_380kV,380,AC,8.87,48.3
Engstlatt_110kV,110,AC,8.86,48.3
Oberjettingen_380kV,380,AC,8.77,48.57
Oberjettingen_110kV,110,AC,8.76,48.57
Pulverdingen_380kV,380,AC,9.02,48.9
Pulverdingen_220kV,220,AC,9.01,48.9
Pulverdingen_110kV,110,AC,9.03,48.9
Bruchsal_380kV,380,AC,8.58,49.12
Bruchsal_110kV,110,AC,8.57,49.12
Wiesloch_110kV,110,AC,8.64,49.31
Wiesloch_380kV,380,AC,8.63,49.31
Enzberg_110kV,110,AC,8.64,49.31
Neurott_380kV,380,AC,8.62,49.37
Birkenfeld_220kV,220,AC,8.63,48.87
Birkenfeld_110kV,110,AC,8.64,48.87
Huffenhardt_380kV,380,AC,9.08,49.29
Huffenhardt_110kV,110,AC,9.09,49.29
Grossgartach_110kV,110,AC,9.12,49.14
Grossgartach_380kV,380,AC,9.11,49.14
Hoheneck_380kV,380,AC,9.21,48.9
Hoheneck_220kV,220,AC,9.2,48.9
Hoheneck_110kV,110,AC,9.23,48.9
Leimen_110kV,110,AC,8.68,49.35
Trossingen_110kV,110,AC,8.63,48.07
Trossingen_380kV,380,AC,8.62,48.07
Tuttlingen_110kV,110,AC,8.82,47.98
Nehren_110kV,110,AC,9.06,48.43
Rappenberghalde_110kV,110,AC,9,48.52
Metzingen_380kV,380,AC,9.29,48.54
Metzingen_110kV,110,AC,9.28,48.54
Reutlingen_110kV,110,AC,9.2,48.49
Herbertingen_380kV,380,AC,9.42,48.06
Herbertingen_110kV,110,AC,9.43,48.06
Ebingen_110kV,110,AC,9.03,48.21
Laufen_an_der_Eyach_110kV,110,AC,8.92,48.22
Dotternhausen_110kV,110,AC,8.79,48.22
Zollhaus_110kV,110,AC,8.56,47.84
Beuren_110kV,110,AC,8.87,47.79
Beuren_220kV,220,AC,8.86,47.79
Singen_110kV,110,AC,8.87,47.76
Stockach_110kV,110,AC,9,47.85
Stockach_220kV,220,AC,9,47.84
Messkirch_110kV,110,AC,9.11,47.99
Sipplingen_110kV,110,AC,9.09,47.79
Weildorf_110kV,110,AC,9.3,47.79
Markdorf_110kV,110,AC,9.39,47.72
Grunkraut_380kV,380,AC,9.66,47.74
Grunkraut_110kV,110,AC,9.65,47.74
Obermooweiler_380kV,380,AC,9.83,47.69
Obermooweiler_110kV,110,AC,9.82,47.69
Wangen_im_Allgau_110kV,110,AC,9.85,47.69
Leutkirch_110kV,110,AC,10.02,47.83
Haisterkirch_110kV,110,AC,9.8,47.92
Biberach_110kV,110,AC,9.79,48.09
Ochsenhausen_110kV,110,AC,9.95,48.07
Tannheim_110kV,110,AC,10.08,47.99
Unteropfingen_110kV,110,AC,10.12,48.06
Dettingen_110kV,110,AC,10.11,48.11
Dellmensingen_110kV,110,AC,9.9,48.3
Dellmensingen_380kV,380,AC,9.9,48.31
Schmiechen_110kV,110,AC,9.73,48.37
Laichingen_110kV,110,AC,9.69,48.49
Laichingen_380kV,380,AC,9.7,48.49
Ehingen_110kV,110,AC,9.66,48.29
SoflingenUlm_110kV,110,AC,9.95,48.39
UlmOst_110kV,110,AC,9.98,48.4
Dornstadt_110kV,110,AC,9.94,48.47
Wendlingen_110kV,110,AC,9.38,48.67
Wendlingen_380kV,380,AC,9.37,48.67
Mohringen_110kV,110,AC,9.15,48.72
Sindelfingen_110kV,110,AC,9,48.71
Stuttgart_110kV,110,AC,9.18,48.77
Muhlhausen_110kV,110,AC,9.22,48.84
Muhlhausen_220kV,220,AC,9.21,48.84
Muhlhausen_380kV,380,AC,9.23,48.84
Neckarwestheim_110kV,110,AC,9.19,49.04
Neckarwestheim_220kV,220,AC,9.2,49.04
Neckarwestheim_380kV,380,AC,9.21,49.04
Altbach_110kV,110,AC,9.38,48.72
Altbach_380kV,380,AC,9.39,48.72
Endersbach_380kV,380,AC,9.37,48.81
Endersbach_110kV,110,AC,9.36,48.81
Donautal_110kV,110,AC,9.94,48.37
Ravensburg_110kV,110,AC,9.61,47.78
Nurtingen_110kV,110,AC,9.35,48.62
Amstetten_110kV,110,AC,9.87,48.58
Geislingen_110kV,110,AC,9.83,48.62
Kirchheim_110kV,110,AC,9.45,48.64
Herrenberg_110kV,110,AC,8.87,48.59
Ludwigsburg_110kV,110,AC,9.19,48.89
Kornwestheim_110kV,110,AC,9.19,48.87
Hopfingen_110kV,110,AC,9.43,49.6
Hopfingen_380kV,380,AC,9.43,49.6
Adelsheim_110kV,110,AC,9.39,49.4
Kupferzell_380kV,380,AC,9.69,49.22
Kupferzell_220kV,220,AC,9.69,49.22
Kupferzell_110kV,110,AC,9.69,49.22
Goldshofe_380kV,380,AC,10.1,48.89
Goldshofe_220kV,220,AC,10.1,48.89
Goldshofe_110kV,110,AC,10.1,48.89
Rotensohl_380kV,380,AC,10.23,48.75
Rotensohl_110kV,110,AC,10.23,48.75
Niederstotzingen_380kV,380,AC,10.24,48.54
Niederstotzingen_110kV,110,AC,10.24,48.54
Gaildorf_110kV,110,AC,9.77,48.99
Pfahlbronn_110kV,110,AC,9.68,48.84
Winnenden_110kV,110,AC,9.4,48.88
Aalen_110kV,110,AC,10.09,48.84
Giengen_110kV,110,AC,10.23,48.62
Oberkochen_110kV,110,AC,10.1,48.78
HeidelburgSud_110kV,110,AC,8.67,49.4
HeidelburgSud_220kV,220,AC,8.67,49.4
