name,bus,carrier,p_nom,p_nom_extendable,capital_cost,marginal_cost,efficiency
Marbach_OIL,Hoheneck_110kV,Oil,425.9,TRUE,,,
Miro_Karlsruhe_OIL,KarlsruheWest_110kV,Oil,70,TRUE,,,
Stuttgart_Munster_OIL,Stuttgart_110kV,Oil,69.9,TRUE,,,
Walheim_OIL,Neckarwestheim_110kV,Oil,136,TRUE,,,
Altbach_GAS,Altbach_110kV,CCGT,253,TRUE,,,
BHKW_Obere_Tubingen_GAS,Metzingen_110kV,CCGT,13.4,TRUE,,,
BHKW_Reutlingen_GAS,Metzingen_110kV,CCGT,9.8,TRUE,,,
Ehingen_GAS,Ehingen_110kV,CCGT,4,TRUE,,,
GuDAnlage_Freiburg_GAS,Eichstetten_110kV,CCGT,60.1,TRUE,,,
GuDKraftwerk_GAS,GKMannheim_110kV,CCGT,17.2,TRUE,,,
Heidelberg_GAS,HeidelburgSud_110kV,CCGT,13.5,TRUE,,,
Heidenheim_GAS,Giengen_110kV,CCGT,26.5,TRUE,,,
Heizkraftwerk_Karlsruhe_GAS,KarlsruheWest_110kV,CCGT,37,TRUE,,,
HKW_Freiburg_GAS,Eichstetten_110kV,CCGT,27,TRUE,,,
Neukochen_GAS,Goldshofe_110kV,CCGT,15,TRUE,,,
Pfaffenwald_GAS,Mohringen_110kV,CCGT,36,TRUE,,,
Pforzheim_GAS,Birkenfeld_110kV,CCGT,52.2,TRUE,,,
Rheinfelden_GAS,Rheinfelden_110kV,CCGT,16,TRUE,,,
Rheinhafen_GAS,Daxlanden_110kV,CCGT,353,TRUE,,,
Sindelfingen_GAS,Sindelfingen_110kV,CCGT,95,TRUE,,,
Stuttgart_GT13_GAS,Stuttgart_110kV,CCGT,55,TRUE,,,
Stuttgart_HKW3_GAS,Stuttgart_110kV,CCGT,29.2,TRUE,,,
Weinheim_GAS,Weinheim_110kV,CCGT,42,TRUE,,,
Wyhlen_GAS,Lorrach_110kV,CCGT,40,TRUE,,,
Ahom_SOL,Adelsheim_110kV,Solar,6.4,TRUE,,,
Bad_Durrheim_SOL,Trossingen_110kV,Solar,1.6,TRUE,,,
Boms_SOL,Herbertingen_110kV,Solar,4.5,TRUE,,,
Dittwar_SOL,Adelsheim_110kV,Solar,1.8,TRUE,,,
Durbheim_SOL,Trossingen_110kV,Solar,5.1,TRUE,,,
Ernsthof_SOL,Hopfingen_110kV,Solar,34.4,TRUE,,,
Gnnanweiler_SOL,Aalen_110kV,Solar,6.4,TRUE,,,
Heckfeld_SOL,Adelsheim_110kV,Solar,1.9,TRUE,,,
Heddesheim_SOL,Rheinau_110kV,Solar,8,TRUE,,,
Humlangen_SOL,Dellmensingen_110kV,Solar,2.5,TRUE,,,
Konigsbronn_SOL,Rotensohl_110kV,Solar,10,TRUE,,,
Lobbach-Lobenfeld_SOL,Huffenhardt_110kV,Solar,5.9,TRUE,,,
Lutstrut_SOL,Aalen_110kV,Solar,4.5,TRUE,,,
Messkirch_SOL,Messkirch_110kV,Solar,1,TRUE,,,
Mooshof_SOL,Stockach_110kV,Solar,4.7,TRUE,,,
Muggensturm_SOL,Kuppenheim_110kV,Solar,1.8,TRUE,,,
Neckarsulm_SOL,Grossgartach_110kV,Solar,1.9,TRUE,,,
Oberlauda_SOL,Adelsheim_110kV,Solar,2.2,TRUE,,,
Philippsburg_SOL,Philippsburg_110kV,Solar,7.4,TRUE,,,
Rauenberg_SOL,Wiesloch_110kV,Solar,4.6,TRUE,,,
Rickelshausen_SOL,Singen_110kV,Solar,6,TRUE,,,
Rohrbuckel_SOL,Huffenhardt_110kV,Solar,1.1,TRUE,,,
Schelklingen_SOL,Schmiechen_110kV,Solar,4.9,TRUE,,,
Sinzheim_SOL,Buhl_110kV,Solar,1.4,TRUE,,,
Staig_SOL,Dellmensingen_110kV,Solar,4.5,TRUE,,,
Stutensee_SOL,Bruchsal_110kV,Solar,1.2,TRUE,,,
Ulm_SOL,SoflingenUlm_110kV,Solar,6.5,TRUE,,,
Vogtsburg_SOL,Eichstetten_110kV,Solar,7.8,TRUE,,,
Ahorn-Buch_WON,Adelsheim_110kV,Wind_Onshore,11.1,TRUE,,,
Bad_Salgau_WON,Herbertingen_110kV,Wind_Onshore,11,TRUE,,,
Boxberg_WON,Hopfingen_110kV,Wind_Onshore,10,TRUE,,,
Freudeunberg_WON,Hopfingen_110kV,Wind_Onshore,16.8,TRUE,,,
Gaildorf_WON,Gaildorf_110kV,Wind_Onshore,13.4,TRUE,,,
Gnnanweiler_WON,Geislingen_110kV,Wind_Onshore,16.8,TRUE,,,
Harthauser_Wald_WON,Adelsheim_110kV,Wind_Onshore,42,TRUE,,,
Hermersberg_WON,Kupferzell_110kV,Wind_Onshore,16.7,TRUE,,,
Kohlenstrasse_WON,Gaildorf_110kV,Wind_Onshore,23.1,TRUE,,,
Lauterburg_WON,Oberkochen_110kV,Wind_Onshore,10,TRUE,,,
Ravenstein_WON,Adelsheim_110kV,Wind_Onshore,10.1,TRUE,,,
Simmersfeld_WON,Forbach_110kV,Wind_Onshore,28,TRUE,,,
Striethof_WON,Gaildorf_110kV,Wind_Onshore,10,TRUE,,,
Waldhausen_WON,Goldshofe_110kV,Wind_Onshore,14,TRUE,,,
Werbach_WON,Hopfingen_110kV,Wind_Onshore,18,TRUE,,,
Wertheim_WON,Hopfingen_110kV,Wind_Onshore,10.5,TRUE,,,
Albbruck_COAL,Tiengen_110kV,Coal,28,TRUE,,,
Altbach_COAL,Altbach_110kV,Coal,769,TRUE,,,
GKM_Mannheim_COAL,GKMannheim_110kV,Coal,2363,TRUE,,,
Heilbronn_COAL,Grossgartach_110kV,Coal,1028,TRUE,,,
MagirusstrasseUlm_COAL,SoflingenUlm_110kV,Coal,20.7,TRUE,,,
Oberkirch_COAL,Weier_110kV,Coal,18.5,TRUE,,,
Pforzheim_COAL,Birkenfeld_110kV,Coal,26.9,TRUE,,,
Rheinhafen_COAL,Daxlanden_110kV,Coal,1351,TRUE,,,
StuttgartGaisburg_COAL,Stuttgart_110kV,Coal,22.6,TRUE,,,
StuttgartMuenster_COAL,Stuttgart_110kV,Coal,90,TRUE,,,
Walheim_COAL,Neckarwestheim_110kV,Coal,244,TRUE,,,
Dettingen_(an_der_Iller)_ROF,Dettingen_110kV,Run_of_River,11,TRUE,,,
Dettingen_ROF,Metzingen_110kV,Run_of_River,11,TRUE,,,
Iffezheim_ROF,Kuppenheim_110kV,Run_of_River,148,TRUE,,,
KWWyhlen_ROF,Lorrach_110kV,Run_of_River,38,TRUE,,,
Laufenburg_ROF,Laufenburg_110kV,Run_of_River,104,TRUE,,,
RADAG_Albbruck_ROF,Tiengen_110kV,Run_of_River,79.5,TRUE,,,
Reckingen_ROF,Reckingen_110kV,Run_of_River,19,TRUE,,,
Rheinfelden_ROF,Rheinfelden_110kV,Run_of_River,47,TRUE,,,
Rudolf_ROF,Forbach_110kV,Run_of_River,22,TRUE,,,
