name,bus,carrier,p_nom,p_nom_extendable,capital_cost,marginal_cost,efficiency
Marbach_OIL,Hoheneck_110kV,Oil,425.9,FALSE,,,
Miro_Karlsruhe_OIL,KarlsruheWest_110kV,Oil,70,FALSE,,,
Stuttgart_Munster_OIL,Stuttgart_110kV,Oil,69.9,FALSE,,,
Walheim_OIL,Neckarwestheim_110kV,Oil,136,FALSE,,,
Altbach_GAS,Altbach_110kV,CCGT,253,FALSE,,,
BHKW_Obere_Tubingen_GAS,Metzingen_110kV,CCGT,13.4,FALSE,,,
BHKW_Reutlingen_GAS,Metzingen_110kV,CCGT,9.8,FALSE,,,
Ehingen_GAS,Ehingen_110kV,CCGT,4,FALSE,,,
GuDAnlage_Freiburg_GAS,Eichstetten_110kV,CCGT,60.1,FALSE,,,
GuDKraftwerk_GAS,GKMannheim_110kV,CCGT,17.2,FALSE,,,
Heidelberg_GAS,HeidelburgSud_110kV,CCGT,13.5,FALSE,,,
Heidenheim_GAS,Giengen_110kV,CCGT,26.5,FALSE,,,
Heizkraftwerk_Karlsruhe_GAS,KarlsruheWest_110kV,CCGT,37,FALSE,,,
HKW_Freiburg_GAS,Eichstetten_110kV,CCGT,27,FALSE,,,
Neukochen_GAS,Goldshofe_110kV,CCGT,15,FALSE,,,
Pfaffenwald_GAS,Mohringen_110kV,CCGT,36,FALSE,,,
Pforzheim_GAS,Birkenfeld_110kV,CCGT,52.2,FALSE,,,
Rheinfelden_GAS,Rheinfelden_110kV,CCGT,16,FALSE,,,
Rheinhafen_GAS,Daxlanden_110kV,CCGT,353,FALSE,,,
Sindelfingen_GAS,Sindelfingen_110kV,CCGT,95,FALSE,,,
Stuttgart_GT13_GAS,Stuttgart_110kV,CCGT,55,FALSE,,,
Stuttgart_HKW3_GAS,Stuttgart_110kV,CCGT,29.2,FALSE,,,
Weinheim_GAS,Weinheim_110kV,CCGT,42,FALSE,,,
Wyhlen_GAS,Lorrach_110kV,CCGT,40,FALSE,,,
Ahom_SOL,Adelsheim_110kV,Solar,6.4,FALSE,,,
Bad_Durrheim_SOL,Trossingen_110kV,Solar,1.6,FALSE,,,
Boms_SOL,Herbertingen_110kV,Solar,4.5,FALSE,,,
Dittwar_SOL,Adelsheim_110kV,Solar,1.8,FALSE,,,
Durbheim_SOL,Trossingen_110kV,Solar,5.1,FALSE,,,
Ernsthof_SOL,Hopfingen_110kV,Solar,34.4,FALSE,,,
Gnnanweiler_SOL,Aalen_110kV,Solar,6.4,FALSE,,,
Heckfeld_SOL,Adelsheim_110kV,Solar,1.9,FALSE,,,
Heddesheim_SOL,Rheinau_110kV,Solar,8,FALSE,,,
Humlangen_SOL,Dellmensingen_110kV,Solar,2.5,FALSE,,,
Konigsbronn_SOL,Rotensohl_110kV,Solar,10,FALSE,,,
Lobbach-Lobenfeld_SOL,Huffenhardt_110kV,Solar,5.9,FALSE,,,
Lutstrut_SOL,Aalen_110kV,Solar,4.5,FALSE,,,
Messkirch_SOL,Messkirch_110kV,Solar,1,FALSE,,,
Mooshof_SOL,Stockach_110kV,Solar,4.7,FALSE,,,
Muggensturm_SOL,Kuppenheim_110kV,Solar,1.8,FALSE,,,
Neckarsulm_SOL,Grossgartach_110kV,Solar,1.9,FALSE,,,
Oberlauda_SOL,Adelsheim_110kV,Solar,2.2,FALSE,,,
Philippsburg_SOL,Philippsburg_110kV,Solar,7.4,FALSE,,,
Rauenberg_SOL,Wiesloch_110kV,Solar,4.6,FALSE,,,
Rickelshausen_SOL,Singen_110kV,Solar,6,FALSE,,,
Rohrbuckel_SOL,Huffenhardt_110kV,Solar,1.1,FALSE,,,
Schelklingen_SOL,Schmiechen_110kV,Solar,4.9,FALSE,,,
Sinzheim_SOL,Buhl_110kV,Solar,1.4,FALSE,,,
Staig_SOL,Dellmensingen_110kV,Solar,4.5,FALSE,,,
Stutensee_SOL,Bruchsal_110kV,Solar,1.2,FALSE,,,
Ulm_SOL,SoflingenUlm_110kV,Solar,6.5,FALSE,,,
Vogtsburg_SOL,Eichstetten_110kV,Solar,7.8,FALSE,,,
Ahorn-Buch_WON,Adelsheim_110kV,Wind_Onshore,11.1,FALSE,,,
Bad_Salgau_WON,Herbertingen_110kV,Wind_Onshore,11,FALSE,,,
Boxberg_WON,Hopfingen_110kV,Wind_Onshore,10,FALSE,,,
Freudeunberg_WON,Hopfingen_110kV,Wind_Onshore,16.8,FALSE,,,
Gaildorf_WON,Gaildorf_110kV,Wind_Onshore,13.4,FALSE,,,
Gnnanweiler_WON,Geislingen_110kV,Wind_Onshore,16.8,FALSE,,,
Harthauser_Wald_WON,Adelsheim_110kV,Wind_Onshore,42,FALSE,,,
Hermersberg_WON,Kupferzell_110kV,Wind_Onshore,16.7,FALSE,,,
Kohlenstrasse_WON,Gaildorf_110kV,Wind_Onshore,23.1,FALSE,,,
Lauterburg_WON,Oberkochen_110kV,Wind_Onshore,10,FALSE,,,
Ravenstein_WON,Adelsheim_110kV,Wind_Onshore,10.1,FALSE,,,
Simmersfeld_WON,Forbach_110kV,Wind_Onshore,28,FALSE,,,
Striethof_WON,Gaildorf_110kV,Wind_Onshore,10,FALSE,,,
Waldhausen_WON,Goldshofe_110kV,Wind_Onshore,14,FALSE,,,
Werbach_WON,Hopfingen_110kV,Wind_Onshore,18,FALSE,,,
Wertheim_WON,Hopfingen_110kV,Wind_Onshore,10.5,FALSE,,,
Albbruck_COAL,Tiengen_110kV,Coal,28,FALSE,,,
Altbach_COAL,Altbach_110kV,Coal,769,FALSE,,,
GKM_Mannheim_COAL,GKMannheim_110kV,Coal,2363,FALSE,,,
Heilbronn_COAL,Grossgartach_110kV,Coal,1028,FALSE,,,
MagirusstrasseUlm_COAL,SoflingenUlm_110kV,Coal,20.7,FALSE,,,
Oberkirch_COAL,Weier_110kV,Coal,18.5,FALSE,,,
Pforzheim_COAL,Birkenfeld_110kV,Coal,26.9,FALSE,,,
Rheinhafen_COAL,Daxlanden_110kV,Coal,1351,FALSE,,,
StuttgartGaisburg_COAL,Stuttgart_110kV,Coal,22.6,FALSE,,,
StuttgartMuenster_COAL,Stuttgart_110kV,Coal,90,FALSE,,,
Walheim_COAL,Neckarwestheim_110kV,Coal,244,FALSE,,,
Dettingen_(an_der_Iller)_ROF,Dettingen_110kV,Run_of_River,11,FALSE,,,
Dettingen_ROF,Metzingen_110kV,Run_of_River,11,FALSE,,,
Iffezheim_ROF,Kuppenheim_110kV,Run_of_River,148,FALSE,,,
KWWyhlen_ROF,Lorrach_110kV,Run_of_River,38,FALSE,,,
Laufenburg_ROF,Laufenburg_110kV,Run_of_River,104,FALSE,,,
RADAG_Albbruck_ROF,Tiengen_110kV,Run_of_River,79.5,FALSE,,,
Reckingen_ROF,Reckingen_110kV,Run_of_River,19,FALSE,,,
Rheinfelden_ROF,Rheinfelden_110kV,Run_of_River,47,FALSE,,,
Rudolf_ROF,Forbach_110kV,Run_of_River,22,FALSE,,,
Ryburg_ROF,Ryburg_Schworstadt_110kV,Run_of_River,30,FALSE,,,
Sackingen_ROF,Kuhmoos_110kV,Run_of_River,37,FALSE,,,
Tannheim_ROF,Tannheim_110kV,Run_of_River,12.3,FALSE,,,
Unteropfingen_(Baden)_ROF,Villingen_110kV,Run_of_River,15,FALSE,,,
Unteropfingen_(Wurrtemberg)_ROF,Unteropfingen_110kV,Run_of_River,14.2,FALSE,,,
WKW_Albbruck_ROF,Tiengen_110kV,Run_of_River,24,FALSE,,,
BioHKW_BIO,SoflingenUlm_110kV,Biomass,13.2,FALSE,,,
BMKW_Mannheim_BIO,GKMannheim_110kV,Biomass,18,FALSE,,,
Herbrechtingen_BIO,Giengen_110kV,Biomass,16,FALSE,,,
Oberrot_BIO,Kupferzell_110kV,Biomass,18.8,FALSE,,,
Odenwald_BIO,Hopfingen_110kV,Biomass,28.4,FALSE,,,
Pforzheim_BIO,Birkenfeld_110kV,Biomass,12,FALSE,,,
Sappi_BIO,Ehingen_110kV,Biomass,21.2,FALSE,,,
SCA_Mannheim_BIO,GKMannheim_110kV,Biomass,59.2,FALSE,,,
StoraEnsoMaxau_BIO,Philippsburg_110kV,Biomass,78,FALSE,,,
