name,bus,carrier,p_nom,p_nom_extendable,capital_cost,marginal_cost,efficiency
Marbach_OIL,Hoheneck_110kV,Oil,425.9,TRUE,1538.75,148.86,0.35
Miro_Karlsruhe_OIL,KarlsruheWest_110kV,Oil,70,TRUE,1538.75,148.86,0.35
Stuttgart_Munster_OIL,Stuttgart_110kV,Oil,69.9,TRUE,1538.75,148.86,0.35
Walheim_OIL,Neckarwestheim_110kV,Oil,136,TRUE,1538.75,148.86,0.35
Altbach_GAS,Altbach_110kV,Gas,253,TRUE,3943.68,37.5,0.6
BHKW_Obere_Tubingen_GAS,Metzingen_110kV,Gas,13.4,TRUE,3943.68,37.5,0.6
BHKW_Reutlingen_GAS,Metzingen_110kV,Gas,9.8,TRUE,3943.68,37.5,0.6
Ehingen_GAS,Ehingen_110kV,Gas,4,TRUE,3943.68,37.5,0.6
GuDAnlage_Freiburg_GAS,Eichstetten_110kV,Gas,60.1,TRUE,3943.68,37.5,0.6
GuDKraftwerk_GAS,GKMannheim_110kV,Gas,17.2,TRUE,3943.68,37.5,0.6
Heidelberg_GAS,HeidelburgSud_110kV,Gas,13.5,TRUE,3943.68,37.5,0.6
Heidenheim_GAS,Giengen_110kV,Gas,26.5,TRUE,3943.68,37.5,0.6
Heizkraftwerk_Karlsruhe_GAS,KarlsruheWest_110kV,Gas,37,TRUE,3943.68,37.5,0.6
HKW_Freiburg_GAS,Eichstetten_110kV,Gas,27,TRUE,3943.68,37.5,0.6
Neukochen_GAS,Goldshofe_110kV,Gas,15,TRUE,3943.68,37.5,0.6
Pfaffenwald_GAS,Mohringen_110kV,Gas,36,TRUE,3943.68,37.5,0.6
Pforzheim_GAS,Birkenfeld_110kV,Gas,52.2,TRUE,3943.68,37.5,0.6
Rheinfelden_GAS,Rheinfelden_110kV,Gas,16,TRUE,3943.68,37.5,0.6
Rheinhafen_GAS,Daxlanden_110kV,Gas,353,TRUE,3943.68,37.5,0.6
Sindelfingen_GAS,Sindelfingen_110kV,Gas,95,TRUE,3943.68,37.5,0.6
Stuttgart_GT13_GAS,Stuttgart_110kV,Gas,55,TRUE,3943.68,37.5,0.6
Stuttgart_HKW3_GAS,Stuttgart_110kV,Gas,29.2,TRUE,3943.68,37.5,0.6
Weinheim_GAS,Weinheim_110kV,Gas,42,TRUE,3943.68,37.5,0.6
Wyhlen_GAS,Lorrach_110kV,Gas,40,TRUE,3943.68,37.5,0.6
Ahom_SOL,Adelsheim_110kV,Solar,6.4,TRUE,1476.27,0,1
Bad_Durrheim_SOL,Trossingen_110kV,Solar,1.6,TRUE,1476.27,0,1
Boms_SOL,Herbertingen_110kV,Solar,4.5,TRUE,1476.27,0,1
Dittwar_SOL,Adelsheim_110kV,Solar,1.8,TRUE,1476.27,0,1
Durbheim_SOL,Trossingen_110kV,Solar,5.1,TRUE,1476.27,0,1
Ernsthof_SOL,Hopfingen_110kV,Solar,34.4,TRUE,1476.27,0,1
Gnnanweiler_SOL,Aalen_110kV,Solar,6.4,TRUE,1476.27,0,1
Heckfeld_SOL,Adelsheim_110kV,Solar,1.9,TRUE,1476.27,0,1
Heddesheim_SOL,Rheinau_110kV,Solar,8,TRUE,1476.27,0,1
Humlangen_SOL,Dellmensingen_110kV,Solar,2.5,TRUE,1476.27,0,1
Konigsbronn_SOL,Rotensohl_110kV,Solar,10,TRUE,1476.27,0,1
Lobbach-Lobenfeld_SOL,Huffenhardt_110kV,Solar,5.9,TRUE,1476.27,0,1
Lutstrut_SOL,Aalen_110kV,Solar,4.5,TRUE,1476.27,0,1
Messkirch_SOL,Messkirch_110kV,Solar,1,TRUE,1476.27,0,1
Mooshof_SOL,Stockach_110kV,Solar,4.7,TRUE,1476.27,0,1
Muggensturm_SOL,Kuppenheim_110kV,Solar,1.8,TRUE,1476.27,0,1
Neckarsulm_SOL,Grossgartach_110kV,Solar,1.9,TRUE,1476.27,0,1
Oberlauda_SOL,Adelsheim_110kV,Solar,2.2,TRUE,1476.27,0,1
Philippsburg_SOL,Philippsburg_110kV,Solar,7.4,TRUE,1476.27,0,1
Rauenberg_SOL,Wiesloch_110kV,Solar,4.6,TRUE,1476.27,0,1
Rickelshausen_SOL,Singen_110kV,Solar,6,TRUE,1476.27,0,1
Rohrbuckel_SOL,Huffenhardt_110kV,Solar,1.1,TRUE,1476.27,0,1
Schelklingen_SOL,Schmiechen_110kV,Solar,4.9,TRUE,1476.27,0,1
Sinzheim_SOL,Buhl_110kV,Solar,1.4,TRUE,1476.27,0,1
Staig_SOL,Dellmensingen_110kV,Solar,4.5,TRUE,1476.27,0,1
Stutensee_SOL,Bruchsal_110kV,Solar,1.2,TRUE,1476.27,0,1
Ulm_SOL,SoflingenUlm_110kV,Solar,6.5,TRUE,1476.27,0,1
Vogtsburg_SOL,Eichstetten_110kV,Solar,7.8,TRUE,1476.27,0,1
Ahorn-Buch_WON,Adelsheim_110kV,Wind_Onshore,11.1,TRUE,3707.27,0,1
Bad_Salgau_WON,Herbertingen_110kV,Wind_Onshore,11,TRUE,3707.27,0,1
Boxberg_WON,Hopfingen_110kV,Wind_Onshore,10,TRUE,3707.27,0,1
Freudeunberg_WON,Hopfingen_110kV,Wind_Onshore,16.8,TRUE,3707.27,0,1
Gaildorf_WON,Gaildorf_110kV,Wind_Onshore,13.4,TRUE,3707.27,0,1
Gnnanweiler_WON,Geislingen_110kV,Wind_Onshore,16.8,TRUE,3707.27,0,1
Harthauser_Wald_WON,Adelsheim_110kV,Wind_Onshore,42,TRUE,3707.27,0,1
Hermersberg_WON,Kupferzell_110kV,Wind_Onshore,16.7,TRUE,3707.27,0,1
Kohlenstrasse_WON,Gaildorf_110kV,Wind_Onshore,23.1,TRUE,3707.27,0,1
Lauterburg_WON,Oberkochen_110kV,Wind_Onshore,10,TRUE,3707.27,0,1
Ravenstein_WON,Adelsheim_110kV,Wind_Onshore,10.1,TRUE,3707.27,0,1
Simmersfeld_WON,Forbach_110kV,Wind_Onshore,28,TRUE,3707.27,0,1
Striethof_WON,Gaildorf_110kV,Wind_Onshore,10,TRUE,3707.27,0,1
Waldhausen_WON,Goldshofe_110kV,Wind_Onshore,14,TRUE,3707.27,0,1
Werbach_WON,Hopfingen_110kV,Wind_Onshore,18,TRUE,3707.27,0,1
Wertheim_WON,Hopfingen_110kV,Wind_Onshore,10.5,TRUE,3707.27,0,1
Albbruck_COAL,Tiengen_110kV,Coal,28,TRUE,14582.36,28.2,0.33
Altbach_COAL,Altbach_110kV,Coal,769,TRUE,14582.36,28.2,0.33
GKM_Mannheim_COAL,GKMannheim_110kV,Coal,2363,TRUE,14582.36,28.2,0.33
Heilbronn_COAL,Grossgartach_110kV,Coal,1028,TRUE,14582.36,28.2,0.33
MagirusstrasseUlm_COAL,SoflingenUlm_110kV,Coal,20.7,TRUE,14582.36,28.2,0.33
Oberkirch_COAL,Weier_110kV,Coal,18.5,TRUE,14582.36,28.2,0.33
Pforzheim_COAL,Birkenfeld_110kV,Coal,26.9,TRUE,14582.36,28.2,0.33
Rheinhafen_COAL,Daxlanden_110kV,Coal,1351,TRUE,14582.36,28.2,0.33
StuttgartGaisburg_COAL,Stuttgart_110kV,Coal,22.6,TRUE,14582.36,28.2,0.33
StuttgartMuenster_COAL,Stuttgart_110kV,Coal,90,TRUE,14582.36,28.2,0.33
Walheim_COAL,Neckarwestheim_110kV,Coal,244,TRUE,14582.36,28.2,0.33
Dettingen_(an_der_Iller)_ROF,Dettingen_110kV,Run_of_River,11,TRUE,12464.18,0,0.9
Dettingen_ROF,Metzingen_110kV,Run_of_River,11,TRUE,12464.18,0,0.9
Iffezheim_ROF,Kuppenheim_110kV,Run_of_River,148,TRUE,12464.18,0,0.9
KWWyhlen_ROF,Lorrach_110kV,Run_of_River,38,TRUE,12464.18,0,0.9
Laufenburg_ROF,Laufenburg_110kV,Run_of_River,104,TRUE,12464.18,0,0.9
RADAG_Albbruck_ROF,Tiengen_110kV,Run_of_River,79.5,TRUE,12464.18,0,0.9
Reckingen_ROF,Reckingen_110kV,Run_of_River,19,TRUE,12464.18,0,0.9
Rheinfelden_ROF,Rheinfelden_110kV,Run_of_River,47,TRUE,12464.18,0,0.9
Rudolf_ROF,Forbach_110kV,Run_of_River,22,TRUE,12464.18,0,0.9
Ryburg_ROF,Ryburg_Schworstadt_110kV,Run_of_River,30,TRUE,12464.18,0,0.9
Sackingen_ROF,Kuhmoos_110kV,Run_of_River,37,TRUE,12464.18,0,0.9
Tannheim_ROF,Tannheim_110kV,Run_of_River,12.3,TRUE,12464.18,0,0.9
