location_name,demand_value,x,y
Alb-Donau-Kreis,0.12769274,,
"Baden-Baden, Stadtkreis",0.007214758,,
Biberach,0.03662808,,
Bodenseekreis,0.03290615,,
Breisgau-Hochschwarzwald,0.03899477,,
Boblingen,0.05215431,,
Calw,0.02247998,,
Emmendingen,0.01478953,,
Enzkreis,0.0325328,,
Esslingen,0.086451686,,
"Freiburg im Breisgau, Stadtkreis",0.02149808,,
Freudenstadt,0.03196243,,
Goppingen,0.05741497,,
"Heidelberg, Stadtkreis",0.00990393,,
Heidenheim,0.04195449,,
"Heilbronn, Landkreis",0.06463948,,
"Heilbronn, Stadtkreis",0.03587804,,
Hohenlohekreis,0.02380144,,
"Karlsruhe, Landkreis",0.0924097,,
"Karlsruhe, Stadtkreis",0.73885104,,
Konstanz,0.05057168,,
Ludwigsburg,0.1192186,,
Lorrach,0.02852876,,
Main-Tauber-Kreis,0.02006557,,
"Mannheim, Stadtkreis",0.282548792,,
Neckar-Odenwald-Kreis,0.02230364,,
Ortenaukreis,0.153927858,,
Ostalbkreis,0.0985162,,
"Pforzheim, Stadtkreis",0.01465054,,
Rastatt,0.12709278,,
Ravensburg,0.12694478,,
Rems-Murr-Kreis,0.05735863,,
Reutlingen,0.05665084,,
Rhein-Neckar-Kreis,0.094112604,,
Rottweil,0.02402757,,
Schwarzwald-Baar-Kreis,0.03371176,,
Schwabisch Hall,0.05761057,,
Sigmaringen,0.01493079,,
"Stuttgart, Stadtkreis",0.1065836,,
Tuttlingen,0.03765465,,
"Tubingen, Landkreis",0.02264502,,
"Ulm, Stadtkreis",0.0398644,,
Waldshut,0.02284704,,
Zollernalbkreis,0.05458438,,
,,,
