,demand_value,x,y
Alb-Donau-Kreis,3.66810519,,
"Baden-Baden, Stadtkreis",0.223691108,,
Biberach,0.98692839,,
Bodenseekreis,1.0351369,,
Breisgau-Hochschwarzwald,1.32717049,,
Boblingen,1.70806105,,
Calw,0.65975002,,
Emmendingen,0.70983134,,
Enzkreis,1.02271281,,
Esslingen,2.44067664,,
"Freiburg im Breisgau, Stadtkreis",0.93932419,,
Freudenstadt,0.64468533,,
Goppingen,1.3812441,,
"Heidelberg, Stadtkreis",0.375877316,,
Heidenheim,1.55452647,,
"Heilbronn, Landkreis",1.66690945,,
"Heilbronn, Stadtkreis",0.67699033,,
Hohenlohekreis,0.62018466,,
"Karlsruhe, Landkreis",3.14820995,,
"Karlsruhe, Stadtkreis",16.9567598,,
Konstanz,1.3264262,,
Ludwigsburg,2.75306637,,
Lorrach,2.10401703,,
Main-Tauber-Kreis,0.70252185,,
"Mannheim, Stadtkreis",2.24359001,,
Neckar-Odenwald-Kreis,0.60240991,,
Ortenaukreis,2.72514655,,
Ostalbkreis,1.81707815,,
"Pforzheim, Stadtkreis",0.56151079,,
Rastatt,1.76775182,,
Ravensburg,2.37100348,,
Rems-Murr-Kreis,1.89033835,,
Reutlingen,1.22043725,,
Rhein-Neckar-Kreis,3.36447675,,
Rottweil,0.75129091,,
Schwarzwald-Baar-Kreis,1.1190243,,
Schwabisch Hall,1.1591551,,
Sigmaringen,0.56218459,,
"Stuttgart, Stadtkreis",2.484291108,,
Tuttlingen,1.0144944,,
"Tubingen, Landkreis",0.90090779,,
"Ulm, Stadtkreis",0.624567008,,
Waldshut,0.87359993,,
Zollernalbkreis,1.90418368,,
