,demand_value,x,y
Alb-Donau-Kreis,0.0922102,,
"Baden-Baden, Stadtkreis",0.0258542,,
Biberach,0.088938096,,
Bodenseekreis,0.0953514,,
Breisgau-Hochschwarzwald,0.131426,,
Boblingen,0.168407008,,
Calw,0.0653445,,
Emmendingen,0.079372896,,
Enzkreis,0.082378896,,
Esslingen,0.220966,,
"Freiburg im Breisgau, Stadtkreis",0.090037696,,
Freudenstadt,0.0513174,,
Goppingen,0.104217,,
"Heidelberg, Stadtkreis",0.0542799,,
Heidenheim,0.0522814,,
"Heilbronn, Landkreis",0.155896992,,
"Heilbronn, Stadtkreis",0.051734,,
Hohenlohekreis,0.0593543,,
"Karlsruhe, Landkreis",0.198871008,,
"Karlsruhe, Stadtkreis",0.120804,,
Konstanz,0.122945,,
Ludwigsburg,0.228408992,,
Lorrach,9.2757299,,
Main-Tauber-Kreis,0.060957,,
"Mannheim, Stadtkreis",0.114261,,
Neckar-Odenwald-Kreis,0.061337,,
Ortenaukreis,0.187568,,
Ostalbkreis,0.130632,,
"Pforzheim, Stadtkreis",0.0512137,,
Rastatt,0.107034,,
Ravensburg,0.130877,,
Rems-Murr-Kreis,0.167628,,
Reutlingen,0.118851,,
Rhein-Neckar-Kreis,0.257699008,,
Rottweil,0.0581714,,
Schwarzwald-Baar-Kreis,0.0850464,,
Schwabisch Hall,0.101092,,
Sigmaringen,0.05434,,
"Stuttgart, Stadtkreis",0.23095,,
Tuttlingen,0.0565702,,
"Tubingen, Landkreis",0.095726896,,
"Ulm, Stadtkreis",0.0528909,,
Waldshut,0.0713404,,
Zollernalbkreis,0.074732304,,
