,demand_value,x,y
Alb-Donau-Kreis,0.055855,,
"Baden-Baden, Stadtkreis",0.0145803,,
Biberach,0.0551977,,
Bodenseekreis,0.059802,,
Breisgau-Hochschwarzwald,0.078050704,,
Boblingen,0.0969512,,
Calw,0.0398487,,
Emmendingen,0.0466388,,
Enzkreis,0.0491827,,
Esslingen,0.131195,,
"Freiburg im Breisgau, Stadtkreis",0.0533181,,
Freudenstadt,0.031596,,
Goppingen,0.060079,,
"Heidelberg, Stadtkreis",0.0329295,,
Heidenheim,0.0316666,,
"Heilbronn, Landkreis",0.089668704,,
"Heilbronn, Stadtkreis",0.0281763,,
Hohenlohekreis,0.0315251,,
"Karlsruhe, Landkreis",0.118584,,
"Karlsruhe, Stadtkreis",20.0993997,,
Konstanz,0.074460096,,
Ludwigsburg,0.138008,,
Lorrach,5.9138801,,
Main-Tauber-Kreis,0.0334437,,
"Mannheim, Stadtkreis",0.069354304,,
Neckar-Odenwald-Kreis,0.0364351,,
Ortenaukreis,0.113335,,
Ostalbkreis,0.078156896,,
"Pforzheim, Stadtkreis",0.0273792,,
Rastatt,0.0608485,,
Ravensburg,0.0782194,,
Rems-Murr-Kreis,0.102974,,
Reutlingen,0.074092,,
Rhein-Neckar-Kreis,0.139294,,
Rottweil,0.0346564,,
Schwarzwald-Baar-Kreis,0.0514455,,
Schwabisch Hall,0.0542209,,
Sigmaringen,0.033744,,
"Stuttgart, Stadtkreis",0.141288992,,
Tuttlingen,0.0358887,,
"Tubingen, Landkreis",0.057353,,
"Ulm, Stadtkreis",0.0285828,,
Waldshut,0.0436101,,
Zollernalbkreis,0.0470958,,
