,SiteId,CompanyName,StreetNameAndNumber,PostalCode,Country,ID_Eurostat,Subsector_Name,Latitude,Longitude,NUTS1ID,NUTS3ID,H2-Potential in TWh,ProcessInfo,geometry
0,1,Shell Deutschland Oil GmbH Rheinland Raffinerie Werk Nord,Godorfer Hauptstr. 150,50997,DE,9,Refineries,50.85499337,6.976845536,DEA,DEA23,1.5837,"<table class=""tooltip-table"">
 <tr> <th>Process</th> <th nowrap>SEC [GJ/t]</th> <th nowrap>H2-Potential [TWh]</th> </tr> <tr> <td nowrap>Refinery diesel focused</td> <td>2.0</td> <td>1.5837 </td>
 </table>
",POINT (6.976845536 50.85499337)
1,2,"Shell Deutschland Oil GmbH Rheinland Raffinerie, Werk Süd",Ludwigshafener Str. 1,50389,DE,9,Refineries,50.81411042,7.005756279,DEA,DEA27,10.2139,"<table class=""tooltip-table"">
 <tr> <th>Process</th> <th nowrap>SEC [GJ/t]</th> <th nowrap>H2-Potential [TWh]</th> </tr> <tr> <td nowrap>Refinery diesel focused</td> <td>2.0</td> <td>2.2378 </td>
 <tr> <td nowrap>Ethylene</td> <td>63.6</td> <td>6.4628 </td>
 <tr> <td nowrap>Methanol</td> <td>22.7</td> <td>1.5133 </td>
 </table>
",POINT (7.005756279 50.81411042)
2,3,RUHR OEL GMBH Werk Scholven,Pawiker Strasse 30,45896,DE,9,Refineries,51.59603275,7.028908506,DEA,DEA32,28.8769,"<table class=""tooltip-table"">
 <tr> <th>Process</th> <th nowrap>SEC [GJ/t]</th> <th nowrap>H2-Potential [TWh]</th> </tr> <tr> <td nowrap>Refinery flexible</td> <td>1.8</td> <td>2.2056 </td>
 <tr> <td nowrap>Ethylene</td> <td>63.6</td> <td>26.6713 </td>
 </table>
",POINT (7.028908506 51.59603275)
3,4,Ruhr Oel GmbH Werk Horst,Johannastrasse 2-8,45899,DE,9,Refineries,51.53960695,7.037202844,DEA,DEA32,1.894,"<table class=""tooltip-table"">
 <tr> <th>Process</th> <th nowrap>SEC [GJ/t]</th> <th nowrap>H2-Potential [TWh]</th> </tr> <tr> <td nowrap>Refinery flexible</td> <td>1.8</td> <td>0.759 </td>
 <tr> <td nowrap>Methanol</td> <td>22.7</td> <td>1.135 </td>
 </table>
",POINT (7.037202844 51.53960695)
4,5,TOTAL Raffinerie Mitteldeutschland GmbH (Raffinerie/POX),Maienweg 1,6237,DE,9,Refineries,51.2896773,11.99058215,DEE,DEE0B,5.1709,"<table class=""tooltip-table"">
 <tr> <th>Process</th> <th nowrap>SEC [GJ/t]</th> <th nowrap>H2-Potential [TWh]</th> </tr> <tr> <td nowrap>Refinery gasoline focused</td> <td>1.7</td> <td>2.6739 </td>
 <tr> <td nowrap>Methanol</td> <td>22.7</td> <td>2.497 </td>
 </table>
",POINT (11.99058215 51.2896773)
5,6,PCK Raffinerie GmbH Schwedt,Passower Chaussee 111,16303,DE,9,Refineries,53.08758529,14.23812153,DE4,DE40I,2.5868,"<table class=""tooltip-table"">
 <tr> <th>Process</th> <th nowrap>SEC [GJ/t]</th> <th nowrap>H2-Potential [TWh]</th> </tr> <tr> <td nowrap>Refinery gasoline focused</td> <td>1.7</td> <td>2.5868 </td>
 </table>
",POINT (14.23812153 53.08758529)
6,7,Holborn Europa Raffinerie GmbH,Moorburger Strasse 16,21079,DE,9,Refineries,53.47708586,9.951581894,DE6,DE600,0.9171,"<table class=""tooltip-table"">
 <tr> <th>Process</th> <th nowrap>SEC [GJ/t]</th> <th nowrap>H2-Potential [TWh]</th> </tr> <tr> <td nowrap>Refinery gasoline focused</td> <td>1.7</td> <td>0.9171 </td>
 </table>
",POINT (9.951581894 53.47708586)
7,8,Nynas Raffinerie Harburg-Süd,Moorburger Str. 10,21079,DE,9,Refineries,53.485769,9.969356,DE6,DE600,0.5171,"<table class=""tooltip-table"">
 <tr> <th>Process</th> <th nowrap>SEC [GJ/t]</th> <th nowrap>H2-Potential [TWh]</th> </tr> <tr> <td nowrap>Refinery flexible</td> <td>1.8</td> <td>0.5171 </td>
 </table>
",POINT (9.969355999999999 53.485769)
8,9,Raffinerie Heide GmbH,Meldorfer Str. 43,25734,DE,9,Refineries,54.16083121,9.079774432,DEF,DEF05,3.5439,"<table class=""tooltip-table"">
 <tr> <th>Process</th> <th nowrap>SEC [GJ/t]</th> <th nowrap>H2-Potential [TWh]</th> </tr> <tr> <td nowrap>Refinery diesel focused</td> <td>2.0</td> <td>1.0582 </td>
 <tr> <td nowrap>Ethylene</td> <td>63.6</td> <td>2.4857 </td>
 </table>
",POINT (9.079774432000001 54.16083121)
9,10,BAYERNOIL Betriebsteil Neustadt,Raffineriestr. 100,93333,DE,9,Refineries,48.78499323,11.75797661,DE2,DE226,0.7017,"<table class=""tooltip-table"">
 <tr> <th>Process</th> <th nowrap>SEC [GJ/t]</th> <th nowrap>H2-Potential [TWh]</th> </tr> <tr> <td nowrap>Refinery gasoline focused</td> <td>1.7</td> <td>0.7017 </td>
 </table>
",POINT (11.75797661 48.78499323)
10,11,BP Europa SE BP Lingen,Raffineriestrasse 1,49808,DE,9,Refineries,52.56185428,7.311814641,DE9,DE949,1.0601,"<table class=""tooltip-table"">
 <tr> <th>Process</th> <th nowrap>SEC [GJ/t]</th> <th nowrap>H2-Potential [TWh]</th> </tr> <tr> <td nowrap>Refinery diesel focused</td> <td>2.0</td> <td>1.0601 </td>
 </table>
",POINT (7.311814641 52.56185428)
11,12,OMV Werk Burghausen,Haiminger Strasse 1,84489,DE,9,Refineries,48.19497657,12.83249114,DE2,DE214,12.062,"<table class=""tooltip-table"">
 <tr> <th>Process</th> <th nowrap>SEC [GJ/t]</th> <th nowrap>H2-Potential [TWh]</th> </tr> <tr> <td nowrap>Refinery basic</td> <td>1.4</td> <td>0.8764 </td>
 <tr> <td nowrap>Ethylene</td> <td>63.6</td> <td>11.1856 </td>
 </table>
",POINT (12.83249114 48.19497657)
12,13,Gunvor Raffinerie Ingolstadt GmbH,Essostrasse 1,85092,DE,9,Refineries,48.79199234,11.47731516,DE2,DE219,1.2934,"<table class=""tooltip-table"">
 <tr> <th>Process</th> <th nowrap>SEC [GJ/t]</th> <th nowrap>H2-Potential [TWh]</th> </tr> <tr> <td nowrap>Refinery gasoline focused</td> <td>1.7</td> <td>1.2934 </td>
 </table>
",POINT (11.47731516 48.79199234)
13,14,BAYERNOIL Betriebsteil Vohburg,Irschinger Weg 1,85088,DE,9,Refineries,48.76579569,11.59885571,DE2,DE21J,0.3879,"<table class=""tooltip-table"">
 <tr> <th>Process</th> <th nowrap>SEC [GJ/t]</th> <th nowrap>H2-Potential [TWh]</th> </tr> <tr> <td nowrap>Refinery gasoline focused</td> <td>1.7</td> <td>0.3879 </td>
 </table>
",POINT (11.59885571 48.76579569)
14,15,Werk 1 MIRO-Mineralölraffinerie Oberrhein GmbH & Co.KG,Nördliche Raffineriestr. 1,76187,DE,9,Refineries,49.05780929,8.329049992,DE1,DE122,3.6451,"<table class=""tooltip-table"">
 <tr> <th>Process</th> <th nowrap>SEC [GJ/t]</th> <th nowrap>H2-Potential [TWh]</th> </tr> <tr> <td nowrap>Refinery gasoline focused</td> <td>1.7</td> <td>3.6451 </td>
 </table>
",POINT (8.329049992 49.05780929)
