id,Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,DateIn,DateRetrofit,DateOut,lat,lon,EIC,projectID
86,Kernkraftwerk Neckarwestheim,Nuclear,Steam Turbine,PP,Germany,1320,0.33,0,0,0,0,1989,1989,2022,49.0418958,9.1737339,{'11WD4GKNK1S----S'},"{'ENTSOE': {'11WD4GKNK1S----S'}, 'OPSD': {'BNA0686'}, 'WIKIPEDIA': {'WIKIPEDIA-41'}, 'GEO': {'GEO-4453'}, 'GPD': {'WRI1005974'}}"
87,Isar,Nuclear,Steam Turbine,PP,Germany,1410,0.33,0,0,0,0,1988,1988,2022,48.0808367,12.09159633,{'11WD2ISKW000299Q'},"{'ENTSOE': {'11WD2ISKW000299Q'}, 'OPSD': {'BNA0263'}, 'WIKIPEDIA': {'WIKIPEDIA-32'}, 'GEO': {'GEO-3688'}, 'GPD': {'WRI1005849'}}"
88,Emsland,Nuclear,Steam Turbine,PP,Germany,1336,0.33,0,0,0,0,1988,1988,2022,52.5227021,7.3256322,{'11WD7KKE-1K--KW5'},"{'ENTSOE': {'11WD7KKE-1K--KW5'}, 'OPSD': {'BNA0607'}, 'WIKIPEDIA': {'WIKIPEDIA-18'}, 'GEO': {'GEO-3071'}, 'GPD': {'WRI1005659'}}"
89,Brokdorf,Nuclear,Steam Turbine,PP,Germany,1410,0.33,0,0,0,0,1986,1986,2021,53.8632511,9.3243811,{'11WD2BRKW000294C'},"{'ENTSOE': {'11WD2BRKW000294C'}, 'OPSD': {'BNA0157'}, 'WIKIPEDIA': {'WIKIPEDIA-16'}, 'GEO': {'GEO-2440'}, 'GPD': {'WRI1005621'}}"
184,Psw Markersbach,Hydro,Pumped Storage,Store,Germany,960,0.75,0,0,0,0,1979,1979,,50.5246939,12.8754757,{'11WD8MARK1H----7'},"{'ENTSOE': {'11WD8MARK1H----7'}, 'OPSD': {'BNA0652'}, 'JRC': {'JRC-H13'}, 'GEO': {'GEO-44337'}}"
201,Koepchenwerk,Hydro,Pumped Storage,Store,Germany,162,0.75,0,0,0,0,1989,1989,,51.410796,7.4535523,{'11WD7KOEP2P--KWG'},"{'ENTSOE': {'11WD7KOEP2P--KWG'}, 'OPSD': {'BNA0443'}, 'JRC': {'JRC-H291'}, 'GEO': {'GEO-44351'}}"
203,Psw Erzhausen,Hydro,Pumped Storage,Store,Germany,220,0.75,0,0,0,0,1964,1998,,51.8992869,9.9242787,{'11WD2ERZH0002682'},"{'ENTSOE': {'11WD2ERZH0002682'}, 'OPSD': {'BNA0558'}, 'JRC': {'JRC-H208'}, 'GEO': {'GEO-44352'}}"
204,Psw Goldisthal,Hydro,Pumped Storage,Store,Germany,1060,0.75,0,0,0,0,2004,2004,,50.5219,11.00495,{'11WD8GOLD1H----6'},"{'ENTSOE': {'11WD8GOLD1H----6'}, 'OPSD': {'BNA0350'}, 'JRC': {'JRC-H12'}, 'GEO': {'GEO-44336'}}"
205,Waldeck,Hydro,Pumped Storage,Store,Germany,480,0.375,0,0,0,0,1931,2009,,51.2076269,9.0646516,{'11WD2W2--0002757'},"{'ENTSOE': {'11WD2W2--0002757'}, 'OPSD': {'BNA0228', 'BNA0229'}, 'JRC': {'JRC-H357', 'JRC-H74'}, 'GEO': {'GEO-44356', 'GEO-44355'}}"
291,Niederaussem,Lignite,Steam Turbine,PP,Germany,3094.701426,0.054665951,0,0,0,0,1963,2009,2038,50.9709,6.6666,{'11WD7NIED-B-KW-5'},"{'BEYONDCOAL': {'BEYOND-DE-13'}, 'ENTSOE': {'11WD7NIED-B-KW-5'}, 'OPSD': {'BNA0705', 'BNA0712', 'BNA0706', 'BNA0713', 'BNA0709', 'BNA0708', 'BNA0707'}, 'GEO': {'GEO-44319'}}"
